"","Type","Flora","Batch"
"590","HM20","S",7.5
"591","HM20","S",7.5
"592","HM20","S",7.5
"632","HM20","S",8
"633","HM20","S",8
"634","HM20","S",8
"635","HM20","S",8
"636","HM20","S",8
"637","HM20","S",8
"638","HM20","S",8
"639","HM20","S",8
"640","HM20","S",8
"641","HM20","S",8
"642","HM20","S",8
"643","HM20","S",8
"644","HM20","S",8
"645","HM20","S",8
"646","HM20","S",8
"647","HM20","S",8
"648","HM20","S",8
"649","HM20","S",8
"650","HM20","S",8
"651","HM20","S",8
"611","HM20","S",8.5
"612","HM20","S",8.5
"613","HM20","S",8.5
"614","HM20","S",8.5
"615","HM20","S",8.5
"616","HM20","S",8.5
"617","HM20","S",8.5
"618","HM20","S",8.5
"619","HM20","S",8.5
"620","HM20","S",8.5
"621","HM20","S",8.5
"622","HM20","S",8.5
"623","HM20","S",8.5
"624","HM20","S",8.5
"625","HM20","S",8.5
"627","HM20","S",8.5
"629","HM20","S",8.5
"630","HM20","S",8.5
"631","HM20","S",8.5
"675","HM20","S",9
"676","HM20","S",9
"677","HM20","S",9
"678","HM20","S",9
"679","HM20","S",9
"680","HM20","S",9
"681","HM20","S",9
"682","HM20","S",9
"683","HM20","S",9
"684","HM20","S",9
"685","HM20","S",9
"686","HM20","S",9
"687","HM20","S",9
"688","HM20","S",9
"689","HM20","S",9
"690","HM20","S",9
"691","HM20","S",9
"692","HM20","S",9
"693","HM20","S",9
"694","HM20","S",9
"695","HM20","S",9
"652","HM20","S",9.5
"653","HM20","S",9.5
"654","HM20","S",9.5
"655","HM20","S",9.5
"656","HM20","S",9.5
"657","HM20","S",9.5
"658","HM20","S",9.5
"659","HM20","S",9.5
"660","HM20","S",9.5
"661","HM20","S",9.5
"662","HM20","S",9.5
"663","HM20","S",9.5
"664","HM20","S",9.5
"665","HM20","S",9.5
"666","HM20","S",9.5
"667","HM20","S",9.5
"668","HM20","S",9.5
"669","HM20","S",9.5
"670","HM20","S",9.5
"671","HM20","S",9.5
"672","HM20","S",9.5
"673","HM20","S",9.5
"76","HM20","S",10
"77","HM20","S",10
"78","HM20","S",10
"79","HM20","S",10
"80","HM20","S",10
"81","HM20","S",10
"82","HM20","S",10
"83","HM20","S",10
"84","HM20","S",10
"85","HM20","S",10
"86","HM20","S",10
"87","HM20","S",10
"88","HM20","S",10
"89","HM20","S",10
"90","HM20","S",10
"91","HM20","S",10
"92","HM20","S",10
"93","HM20","S",10
"94","HM20","S",10
"95","HM20","S",10
"54","HM20","S",10.5
"55","HM20","S",10.5
"56","HM20","S",10.5
"57","HM20","S",10.5
"58","HM20","S",10.5
"59","HM20","S",10.5
"60","HM20","S",10.5
"61","HM20","S",10.5
"62","HM20","S",10.5
"63","HM20","S",10.5
"64","HM20","S",10.5
"65","HM20","S",10.5
"66","HM20","S",10.5
"67","HM20","S",10.5
"68","HM20","S",10.5
"69","HM20","S",10.5
"70","HM20","S",10.5
"71","HM20","S",10.5
"72","HM20","S",10.5
"73","HM20","S",10.5
"74","HM20","S",10.5
"75","HM20","S",10.5
"118","HM20","S",11
"119","HM20","S",11
"120","HM20","S",11
"121","HM20","S",11
"122","HM20","S",11
"123","HM20","S",11
"124","HM20","S",11
"125","HM20","S",11
"126","HM20","S",11
"127","HM20","S",11
"128","HM20","S",11
"129","HM20","S",11
"130","HM20","S",11
"131","HM20","S",11
"132","HM20","S",11
"133","HM20","S",11
"134","HM20","S",11
"135","HM20","S",11
"136","HM20","S",11
"137","HM20","S",11
"138","HM20","S",11
"139","HM20","S",11
"96","HM20","S",11.5
"97","HM20","S",11.5
"98","HM20","S",11.5
"99","HM20","S",11.5
"100","HM20","S",11.5
"101","HM20","S",11.5
"102","HM20","S",11.5
"103","HM20","S",11.5
"104","HM20","S",11.5
"105","HM20","S",11.5
"106","HM20","S",11.5
"107","HM20","S",11.5
"108","HM20","S",11.5
"109","HM20","S",11.5
"110","HM20","S",11.5
"111","HM20","S",11.5
"112","HM20","S",11.5
"113","HM20","S",11.5
"114","HM20","S",11.5
"115","HM20","S",11.5
"116","HM20","S",11.5
"117","HM20","S",11.5
"162","HM20","S",12
"163","HM20","S",12
"164","HM20","S",12
"165","HM20","S",12
"166","HM20","S",12
"167","HM20","S",12
"168","HM20","S",12
"169","HM20","S",12
"170","HM20","S",12
"171","HM20","S",12
"172","HM20","S",12
"173","HM20","S",12
"174","HM20","S",12
"175","HM20","S",12
"176","HM20","S",12
"177","HM20","S",12
"178","HM20","S",12
"179","HM20","S",12
"180","HM20","S",12
"181","HM20","S",12
"182","HM20","S",12
"183","HM20","S",12
"184","HM20","S",12
"185","HM20","S",12
"186","HM20","S",12
"187","HM20","S",12
"188","HM20","S",12
"189","HM20","S",12
"140","HM20","S",12.5
"141","HM20","S",12.5
"142","HM20","S",12.5
"143","HM20","S",12.5
"144","HM20","S",12.5
"145","HM20","S",12.5
"146","HM20","S",12.5
"147","HM20","S",12.5
"148","HM20","S",12.5
"149","HM20","S",12.5
"150","HM20","S",12.5
"151","HM20","S",12.5
"152","HM20","S",12.5
"153","HM20","S",12.5
"154","HM20","S",12.5
"155","HM20","S",12.5
"156","HM20","S",12.5
"157","HM20","S",12.5
"158","HM20","S",12.5
"159","HM20","S",12.5
"160","HM20","S",12.5
"161","HM20","S",12.5
"212","HM20","S",13
"213","HM20","S",13
"214","HM20","S",13
"215","HM20","S",13
"216","HM20","S",13
"217","HM20","S",13
"218","HM20","S",13
"219","HM20","S",13
"220","HM20","S",13
"221","HM20","S",13
"222","HM20","S",13
"223","HM20","S",13
"224","HM20","S",13
"225","HM20","S",13
"226","HM20","S",13
"227","HM20","S",13
"228","HM20","S",13
"229","HM20","S",13
"230","HM20","S",13
"231","HM20","S",13
"232","HM20","S",13
"233","HM20","S",13
"234","HM20","S",13
"235","HM20","S",13
"236","HM20","S",13
"237","HM20","S",13
"238","HM20","S",13
"239","HM20","S",13
"240","HM20","S",13
"241","HM20","S",13
"242","HM20","S",13
"243","HM20","S",13
"244","HM20","S",13
"245","HM20","S",13
"246","HM20","S",13
"247","HM20","S",13
"248","HM20","S",13
"190","HM20","S",13.5
"191","HM20","S",13.5
"192","HM20","S",13.5
"193","HM20","S",13.5
"194","HM20","S",13.5
"195","HM20","S",13.5
"196","HM20","S",13.5
"197","HM20","S",13.5
"198","HM20","S",13.5
"199","HM20","S",13.5
"200","HM20","S",13.5
"201","HM20","S",13.5
"202","HM20","S",13.5
"203","HM20","S",13.5
"204","HM20","S",13.5
