"","Type","Flora","Batch"
"556","HM20","C",6.5
"557","HM20","C",6.5
"558","HM20","C",6.5
"559","HM20","C",6.5
"560","HM20","C",6.5
"561","HM20","C",6.5
"562","HM20","C",6.5
"563","HM20","C",6.5
"564","HM20","C",6.5
"565","HM20","C",6.5
"566","HM20","C",6.5
"567","HM20","C",6.5
"568","HM20","C",6.5
"569","HM20","C",6.5
"570","HM20","C",6.5
"571","HM20","C",6.5
"572","HM20","C",6.5
"621","HM20","C",7
"622","HM20","C",7
"623","HM20","C",7
"624","HM20","C",7
"625","HM20","C",7
"626","HM20","C",7
"627","HM20","C",7
"628","HM20","C",7
"629","HM20","C",7
"630","HM20","C",7
"631","HM20","C",7
"632","HM20","C",7
"633","HM20","C",7
"634","HM20","C",7
"635","HM20","C",7
"636","HM20","C",7
"637","HM20","C",7
"638","HM20","C",7
"639","HM20","C",7
"640","HM20","C",7
"641","HM20","C",7
"642","HM20","C",7
"643","HM20","C",7
"644","HM20","C",7
"645","HM20","C",7
"646","HM20","C",7
"647","HM20","C",7
"648","HM20","C",7
"649","HM20","C",7
"650","HM20","C",7
"651","HM20","C",7
"599","HM20","C",7.5
"600","HM20","C",7.5
"601","HM20","C",7.5
"602","HM20","C",7.5
"603","HM20","C",7.5
"604","HM20","C",7.5
"605","HM20","C",7.5
"606","HM20","C",7.5
"607","HM20","C",7.5
"608","HM20","C",7.5
"609","HM20","C",7.5
"610","HM20","C",7.5
"611","HM20","C",7.5
"612","HM20","C",7.5
"613","HM20","C",7.5
"614","HM20","C",7.5
"615","HM20","C",7.5
"616","HM20","C",7.5
"617","HM20","C",7.5
"618","HM20","C",7.5
"619","HM20","C",7.5
"620","HM20","C",7.5
"674","HM20","C",8
"675","HM20","C",8
"676","HM20","C",8
"677","HM20","C",8
"678","HM20","C",8
"679","HM20","C",8
"680","HM20","C",8
"681","HM20","C",8
"682","HM20","C",8
"683","HM20","C",8
"684","HM20","C",8
"685","HM20","C",8
"686","HM20","C",8
"687","HM20","C",8
"688","HM20","C",8
"689","HM20","C",8
"690","HM20","C",8
"691","HM20","C",8
"692","HM20","C",8
"693","HM20","C",8
"694","HM20","C",8
"695","HM20","C",8
"696","HM20","C",8
"697","HM20","C",8
"652","HM20","C",8.5
"653","HM20","C",8.5
"654","HM20","C",8.5
"655","HM20","C",8.5
"656","HM20","C",8.5
"657","HM20","C",8.5
"658","HM20","C",8.5
"659","HM20","C",8.5
"660","HM20","C",8.5
"661","HM20","C",8.5
"662","HM20","C",8.5
"663","HM20","C",8.5
"664","HM20","C",8.5
"665","HM20","C",8.5
"666","HM20","C",8.5
"667","HM20","C",8.5
"668","HM20","C",8.5
"669","HM20","C",8.5
"670","HM20","C",8.5
"671","HM20","C",8.5
"672","HM20","C",8.5
"673","HM20","C",8.5
"721","HM20","C",9
"722","HM20","C",9
"723","HM20","C",9
"724","HM20","C",9
"728","HM20","C",9
"729","HM20","C",9
"731","HM20","C",9
"732","HM20","C",9
"733","HM20","C",9
"734","HM20","C",9
"735","HM20","C",9
"736","HM20","C",9
"737","HM20","C",9
"738","HM20","C",9
"739","HM20","C",9
"740","HM20","C",9
"741","HM20","C",9
"742","HM20","C",9
"698","HM20","C",9.5
"699","HM20","C",9.5
"700","HM20","C",9.5
"701","HM20","C",9.5
"702","HM20","C",9.5
"703","HM20","C",9.5
"704","HM20","C",9.5
"705","HM20","C",9.5
"706","HM20","C",9.5
"707","HM20","C",9.5
"708","HM20","C",9.5
"709","HM20","C",9.5
"710","HM20","C",9.5
"711","HM20","C",9.5
"712","HM20","C",9.5
"713","HM20","C",9.5
"714","HM20","C",9.5
"715","HM20","C",9.5
"716","HM20","C",9.5
"717","HM20","C",9.5
"719","HM20","C",9.5
"720","HM20","C",9.5
"86","HM20","C",10
"87","HM20","C",10
"88","HM20","C",10
"89","HM20","C",10
"90","HM20","C",10
"91","HM20","C",10
"92","HM20","C",10
"93","HM20","C",10
"94","HM20","C",10
"95","HM20","C",10
"96","HM20","C",10
"97","HM20","C",10
"98","HM20","C",10
"99","HM20","C",10
"100","HM20","C",10
"101","HM20","C",10
"102","HM20","C",10
"103","HM20","C",10
"104","HM20","C",10
"105","HM20","C",10
"106","HM20","C",10
"107","HM20","C",10
"108","HM20","C",10
"63","HM20","C",10.5
"64","HM20","C",10.5
"65","HM20","C",10.5
"66","HM20","C",10.5
"67","HM20","C",10.5
"68","HM20","C",10.5
"69","HM20","C",10.5
"70","HM20","C",10.5
"71","HM20","C",10.5
"72","HM20","C",10.5
"73","HM20","C",10.5
"74","HM20","C",10.5
"75","HM20","C",10.5
"76","HM20","C",10.5
"77","HM20","C",10.5
"78","HM20","C",10.5
"79","HM20","C",10.5
"80","HM20","C",10.5
"81","HM20","C",10.5
"82","HM20","C",10.5
"83","HM20","C",10.5
"85","HM20","C",10.5
"131","HM20","C",11
"132","HM20","C",11
"133","HM20","C",11
"134","HM20","C",11
"135","HM20","C",11
"136","HM20","C",11
"137","HM20","C",11
"138","HM20","C",11
