"","Type","Flora","Batch"
"434","HM20","A",8
"435","HM20","A",8
"436","HM20","A",8
"437","HM20","A",8
"438","HM20","A",8
"439","HM20","A",8
"440","HM20","A",8
"441","HM20","A",8
"442","HM20","A",8
"412","HM20","A",8.5
"413","HM20","A",8.5
"414","HM20","A",8.5
"415","HM20","A",8.5
"416","HM20","A",8.5
"417","HM20","A",8.5
"418","HM20","A",8.5
"419","HM20","A",8.5
"420","HM20","A",8.5
"421","HM20","A",8.5
"422","HM20","A",8.5
"423","HM20","A",8.5
"424","HM20","A",8.5
"425","HM20","A",8.5
"426","HM20","A",8.5
"427","HM20","A",8.5
"428","HM20","A",8.5
"429","HM20","A",8.5
"430","HM20","A",8.5
"431","HM20","A",8.5
"432","HM20","A",8.5
"465","HM20","A",9
"467","HM20","A",9
"468","HM20","A",9
"443","HM20","A",9.5
"444","HM20","A",9.5
"445","HM20","A",9.5
"446","HM20","A",9.5
"447","HM20","A",9.5
"448","HM20","A",9.5
"449","HM20","A",9.5
"450","HM20","A",9.5
"451","HM20","A",9.5
"452","HM20","A",9.5
"453","HM20","A",9.5
"454","HM20","A",9.5
"455","HM20","A",9.5
"457","HM20","A",9.5
"458","HM20","A",9.5
"459","HM20","A",9.5
"460","HM20","A",9.5
"461","HM20","A",9.5
"462","HM20","A",9.5
"463","HM20","A",9.5
"464","HM20","A",9.5
"71","HM20","A",10.5
"72","HM20","A",10.5
"73","HM20","A",10.5
"74","HM20","A",10.5
"75","HM20","A",10.5
"76","HM20","A",10.5
"77","HM20","A",10.5
"78","HM20","A",10.5
"79","HM20","A",10.5
"80","HM20","A",10.5
"81","HM20","A",10.5
"82","HM20","A",10.5
"83","HM20","A",10.5
"84","HM20","A",10.5
"85","HM20","A",10.5
"86","HM20","A",10.5
"87","HM20","A",10.5
"88","HM20","A",10.5
"89","HM20","A",10.5
"90","HM20","A",10.5
"92","HM20","A",11.5
"93","HM20","A",11.5
"94","HM20","A",11.5
"95","HM20","A",11.5
"97","HM20","A",11.5
"98","HM20","A",11.5
"99","HM20","A",11.5
"100","HM20","A",11.5
"101","HM20","A",11.5
"102","HM20","A",11.5
"103","HM20","A",11.5
"104","HM20","A",11.5
"105","HM20","A",11.5
"107","HM20","A",11.5
