age_calBP,WTD
1347.4,15.52
1355.4,0.55
1364.1,3.26
1367,5.13
1372.15,3.41
1376.9,9.65
1379.5,8.2
1386.7,17.29
1391.7,5.86
1394.9,-0.18
1407.6,14.09
1412.3,4.23
1417.7,8.24
1419,5.66
1421.3,6.64
1429.9,17.28
1438.75,16.77
1441.4,2.39
1447,5.01
1452.9,6.84
1454.5,8.38
1470.35,11.31
1471.45,9.98
1475.8,4.63
1476.8,8.37
1488.5,5.35
1491.8,7.6
1492.3,9.41
1501.8,12.48
1504.4,6.52
1514.2,20.78
1530,9.62
1530.3,8.33
1532.2,24.03
1532.4,4.03
1533,15.35
1536.4,8.83
1558.45,15.52
1560.2,7.47
1563.85,17.35
1567.4,8.8
1570.2,7.19
1584.5,9.72
1585.95,10.64
1588.2,5.38
1592.4,12.74
1605.3,9.41
1612.05,8.14
1612.85,19.12
1616.3,2.12
1618.2,9.46
1631.6,9.52
1636.55,5.71
1639.1,1.6
1639.15,17.81
1643,8.63
1644.4,8.88
1644.5,-0.12
1653.5,8
1671,12.31
1671.45,17.26
1678.5,8.09
1679.2,1.55
1680.8,10.81
1691.5,14.16
1692.75,8.14
1699.05,18.87
1718.2,11.95
1724.7,7.89
1725.1,6.27
1726.9,15.93
1732.45,6.36
1741.8,17.92
1745.4,16.06
1754.3,10.38
1755.9,12.48
1771,2.64
1771.5,7.51
1773.5,8.51
1779.8,12.14
1793.5,8.66
1800.1,26
1805.4,12.75
1810.45,18.26
1812,12.85
1815.65,8.34
1816.2,2.95
1830.4,7.97
1832.8,8.12
1836.6,9.76
1854,5.3
1856.2,21.05
1859,10.56
1859.35,10.33
1861.1,6.27
1867.3,13.19
1884.2,2.54
1884.8,5.47
1885,10.35
1900.3,2.59
1903.8,9.73
1908.35,25.46
1908.6,7.29
1910,1.33
1912.4,9
1932.7,8.82
1939.75,11.81
1940.2,9.8
1941.2,3.48
1946.25,4.92
1955.9,17.67
1957.1,9.18
1966.4,9.3
1976.2,13.28
1981.4,9.04
1981.9,8.23
1993.4,9.69
1998.9,26.03
1999.05,5.4
2005.45,3.51
2006.2,13.84
2013.5,9.38
2020.85,9.24
2022.1,7.57
2036.2,8.16
2040.75,22.51
2046.95,8.34
2050.5,7.75
2052.75,6.98
2063.2,7.51
2072.4,10.14
2073.3,7.13
2083.4,14.57
2087.7,8.26
2093.6,3.67
2101.6,7.25
2103.2,5.02
2113.1,6.91
2124.6,9.17
2125.3,13.28
2129.2,8.39
2136.9,4.24
2143.2,8.66
2155,4.72
2155.95,7.82
2159.2,8.05
2176.9,5.32
2183.65,7.04
2184.1,4.9
2195.6,8.97
2196.7,6.47
2211.3,7.06
2211.95,7.35
2213.6,4.85
2225.5,5.16
2238.15,7.82
2238.2,4.02
2248.7,5.34
2249.55,4.18
2258.1,9.25
2265.3,7.42
2268.1,9.28
2279.4,6.36
2283.7,5.14
2292.7,4.48
2303.15,8.5
2312.7,9.43
2316.7,7.39
2318.2,-0.3
2339.4,8.3
2343.6,-0.05
2351.5,6.51
2370.05,1.26
2388.25,4.84
2396.45,17
2396.75,0.98
2409.65,18.06
2412.4,8.73
2424.15,-0.79
2425.9,9.34
2426.55,7.03
2429.65,7.91
2438.55,4.56
2441.5,-0.84
2451,4.62
2465.75,9.04
2478.35,0.62
2484.7,9.19
2486.15,-2.11
2487.5,3.6
2503.7,8.8
2506.5,-0.95
2506.9,2.66
2520.4,8.15
2531.8,-0.64
2534.4,0.52
2536.3,7.32
2537.4,8.82
2551.95,7.79
2562.15,2.44
2565.3,9.29
2567.35,8.33
2575.35,14.32
2577.05,1.44
2582.7,8.48
2588.7,6.99
2598.9,9.08
2615.05,4.49
2615.4,8.41
2622.1,-0.83
2631.55,8.02
2638.55,18.27
2641.15,0.87
2646.6,9.33
2646.9,5.12
2657.5,8.79
2660.75,-0.54
2662.35,7.54
2665.45,-1.03
2677.55,7
2688.05,6.72
2692.65,7.41
2696.65,21.3
2698.1,5.69
2708.8,6.54
2709.55,4.63
2716.3,4.4
2728.55,7.63
2730.6,16.2
2731,7.52
2732.4,13.64
2734,26.94
2748.3,7.28
2761.35,10.78
2764.5,16.14
2765.95,19.47
2771.1,7.68
2776.7,6.83
2791.25,6.82
2793.9,12.81
2795.15,6.74
2798.15,22.35
2813,9.82
2818.8,7.71
2822.3,6.82
2831.3,25.6
2838.8,12.93
2841.9,9.25
2853,7.14
2864.3,17.79
2864.95,7.01
2883.6,9.35
2884.35,7.9
2897.4,24.74
2898.3,7.73
2898.8,7.35
2902.45,7.82
2915.3,11.5
2920.15,8.43
2930.45,15
2936.65,8.67
2946.5,9.45
2960.1,7.52
2963.5,23.07
2968.85,8.62
2970.75,-1.52
2977.15,13.95
2981.1,5.96
2990.6,11.09
3000.15,9.9
3001.9,19.75
3006.8,8.24
3021.1,9
3030.8,9.49
3036.55,10.74
3041.25,10.79
3051.5,8.84
3062.2,10.28
3064.9,10.57
3067.1,10.12
3081.65,17.98
3086.2,16.15
3093.65,9.39
3097.95,11.64
3121.1,10.94
3121.6,6.6
3122.15,10
3129.1,12.97
3145.55,9.4
3154.3,9.26
3157.1,10.46
3160.55,16.75
3161.65,16
3168.2,7.86
3191.4,9.35
3191.7,20.99
3194.3,8.31
3201.5,12.24
3214.7,7.64
3221.6,14.2
3231.3,7.1
3237.35,7.73
3241.8,20.18
3244.9,7.28
3251.6,10.01
3259.7,8.06
3268,8.44
3281.75,9.98
3282.9,7.3
3283.1,23.91
3304.8,8.31
3306.65,5.63
3312.8,7.94
3324.55,12.78
3333.2,2.35
3342.3,10.21
3342.5,9.35
3343.85,11.12
3362.3,6.02
3366.15,15.96
3373.75,8.66
3380.4,8.52
3393.55,4.27
3404.65,6.7
3406.45,19.81
3418.8,9.71
3426.15,2.49
3436.2,7.81
3437.4,9.69
3446.75,15.09
3454.6,8.76
3458.1,3.18
3467.3,6.86
3486.6,16.73
3489.35,6.49
3490.5,10.12
3498.3,9.67
3520.6,3.28
3521.9,9.45
3527.05,11.6
3528.75,8.36
3529.2,9.9
3548.8,9.26
3553,6.51
3559.4,7.96
3567.9,13.58
3575.7,8.13
3589.9,2.01
3590.5,8.88
3604.1,5.38
3606.95,18.7
3620.75,10.17
3622.9,10.57
3631.8,5.18
3632.6,8.89
3645.85,12.14
3651,9.24
3662,8.49
3674.85,6.96
3681.9,8.09
3685.6,15.26
3692.7,7.76
3712.9,6.96
3716.2,10.47
3718.1,9.12
3723.4,6.37
3724.7,13.18
3744,7.86
3761.65,7.52
3763.45,15.23
3771.3,8.58
3773.15,8.54
3802.9,13.54
3805.1,3.1
3810.3,5.57
3819.5,8.71
3823.95,13.7
3834.4,9.32
3851.4,4.36
3865.7,9.09
3881.8,11.14
3888.85,10.67
3896.4,6.32
3897.05,9.23
3907.1,9.3
3928.5,10
3940.5,8.22
3947.85,3.74
3952.75,10.62
3958.7,9.02
3960.2,10.69
3962.65,7
3985.85,7.06
3992.85,4.81
4001.3,10.07
4011.95,6.81
4018.45,15.88
4025,10.04
4035.4,7.85
4038,5.91
4056.85,7.78
4068.5,7.08
4086.15,13.79
4087.95,9.41
4096.3,13.76
4100.5,7.26
4102.9,7.39
4113,6.31
4119.15,8.23
4131.95,8.87
4151.5,7.96
4151.9,19
4162.05,8.49
4183.3,7.51
4187,8.91
4191,7.92
4191.6,12.8
4192.1,8.15
4213.7,15.55
4214.8,8.98
4215.85,7.93
4237.65,7.86
4247.15,11.43
4247.9,5.48
4255.45,13.78
4258.95,5.96
4268.35,7.18
4279.2,7.13
4279.5,11.24
4284.1,7.86
4288.4,10.75
4292.8,13.28
4299.7,8.38
4310.55,15.63
4315.45,7.86
4320.4,9.53
4325.15,13.37
4329.8,7.93
4332.4,6.11
