Median,depth,L95,U95
1386,159.5,1237,1497
1391,160,1239,1502
1395,160.5,1251,1505
1399,161,1264,1508
1404,161.5,1277,1510
1409,162,1289,1511
1414,162.5,1300,1514
1418,163,1310,1517
1424,163.5,1320,1519
1429,164,1331,1521
1434,164.5,1341,1523
1440,165,1349,1526
1445,165.5,1356,1529
1451,166,1362,1533
1456,166.5,1367,1537
1462,167,1372,1542
1467,167.5,1376,1548
1472,168,1379,1556
1477,168.5,1383,1565
1482,169,1386,1575
1487,169.5,1388,1585
1492,170,1391,1594
1497,170.5,1396,1599
1502,171,1402,1602
1507,171.5,1407,1606
1512,172,1412,1612
1517,172.5,1416,1617
1522,173,1419,1623
1527,173.5,1422,1628
1532,174,1425,1634
1537,174.5,1428,1640
1543,175,1430,1648
1547,175.5,1433,1655
1553,176,1434,1664
1557,176.5,1437,1672
1562,177,1440,1681
1567,177.5,1442,1691
1572,178,1443,1702
1576,178.5,1445,1712
1580,179,1446,1721
1585,179.5,1448,1729
1589,180,1450,1739
1595,180.5,1461,1742
1600,181,1469,1745
1607,181.5,1476,1747
1612,182,1483,1750
1617,182.5,1489,1753
1622,183,1495,1757
1628,183.5,1499,1761
1633,184,1505,1765
1639,184.5,1511,1769
1645,185,1515,1774
1651,185.5,1519,1779
1656,186,1523,1783
1662,186.5,1527,1791
1668,187,1531,1796
1674,187.5,1535,1800
1680,188,1538,1807
1685,188.5,1540,1815
1691,189,1544,1823
1696,189.5,1548,1830
1700,190,1550,1839
1705,190.5,1561,1840
1710,191,1572,1841
1714,191.5,1582,1844
1719,192,1592,1847
1724,192.5,1602,1849
1728,193,1611,1851
1732,193.5,1620,1853
1737,194,1628,1857
1742,194.5,1635,1860
1747,195,1644,1863
1752,195.5,1652,1866
1757,196,1663,1868
1762,196.5,1670,1873
1767,197,1677,1878
1772,197.5,1684,1885
1777,198,1691,1891
1782,198.5,1698,1900
1788,199,1702,1907
1793,199.5,1706,1913
1798,200,1709,1920
1802,200.5,1714,1924
1807,201,1719,1927
1812,201.5,1724,1932
1818,202,1726,1936
1823,202.5,1730,1942
1828,203,1733,1947
1834,203.5,1736,1952
1839,204,1739,1959
1844,204.5,1741,1966
1849,205,1743,1974
1854,205.5,1746,1983
1860,206,1748,1992
1864,206.5,1751,2002
1869,207,1753,2012
1874,207.5,1755,2024
1878,208,1756,2034
1883,208.5,1758,2045
1888,209,1760,2057
1892,209.5,1762,2068
1896,210,1763,2081
1902,210.5,1770,2083
1907,211,1777,2085
1912,211.5,1782,2088
1918,212,1787,2091
1923,212.5,1792,2095
1929,213,1797,2100
1935,213.5,1800,2104
1941,214,1804,2108
1946,214.5,1806,2112
1952,215,1811,2116
1958,215.5,1813,2121
1964,216,1817,2127
1969,216.5,1819,2134
1975,217,1821,2140
1981,217.5,1824,2146
1985,218,1827,2154
1991,218.5,1829,2161
1997,219,1832,2170
2002,219.5,1834,2179
2008,220,1836,2189
2013,220.5,1845,2191
2018,221,1853,2194
2024,221.5,1861,2197
2029,222,1867,2199
2034,222.5,1874,2201
2040,223,1881,2203
2046,223.5,1886,2206
2051,224,1891,2209
2056,224.5,1896,2212
2062,225,1899,2215
2068,225.5,1905,2218
2074,226,1910,2221
2079,226.5,1915,2226
2084,227,1917,2230
2089,227.5,1921,2236
2095,228,1924,2240
2100,228.5,1927,2247
2106,229,1929,2253
2111,229.5,1931,2259
2117,230,1934,2268
2121,230.5,1946,2269
2126,231,1957,2271
2130,231.5,1969,2272
2135,232,1979,2273
2141,232.5,1990,2275
2146,233,2000,2277
2151,233.5,2008,2278
2156,234,2016,2281
2161,234.5,2022,2283
2166,235,2032,2286
2172,235.5,2041,2288
2178,236,2046,2291
2184,236.5,2051,2295
2191,237,2055,2298
2195,237.5,2059,2302
2201,238,2064,2306
2206,238.5,2069,2312
2211,239,2072,2319
2217,239.5,2077,2326
2223,240,2081,2333
2227,240.5,2086,2338
2231,241,2091,2342
