BP,SU
1348,0.22
1349,0.39
1350,0.37
1351,0.26
1352,-0.05
1353,0.16
1354,0.02
1355,-0.04
1356,0.02
1357,0.13
1358,0.01
1359,0.73
1360,0.12
1361,-0.67
1362,0.02
1363,-0.45
1364,-0.18
1365,-0.24
1366,-0.61
1367,-0.4
1368,-0.55
1369,-0.55
1370,-0.48
1371,-0.4
1372,-0.54
1373,-0.58
1374,-0.6
1375,-0.49
1376,-0.58
1377,-0.67
1378,-0.81
1379,-0.76
1380,-0.8
1381,-0.46
1382,-0.8
1383,-0.79
1384,-0.73
1385,-0.6
1386,-0.37
1387,-0.62
1388,-0.37
1389,-0.29
1390,-0.56
1391,-0.6
1392,-0.5
1393,-0.51
1394,-0.68
1395,-0.61
1396,-0.68
1397,-0.43
1398,-0.69
1399,-0.82
1400,-0.81
1401,-0.77
1402,-0.73
1403,-0.58
1404,-0.67
1405,-0.62
1406,-0.72
1407,-0.72
1408,-0.85
1409,-0.65
1410,-0.86
1411,-0.92
1412,-0.93
1413,-0.7
1414,-0.81
1415,-0.96
1416,-0.96
1417,-1.01
1418,-0.98
1419,-0.98
1420,-0.61
1421,-0.7
1422,-0.53
1423,-0.75
1424,-0.82
1425,-0.84
1426,-0.85
1427,-0.75
1428,-0.92
1429,-0.64
1430,-0.81
1431,-1
1432,-0.57
1433,-0.68
1434,-0.53
1435,-0.6
1436,-0.75
1437,-0.85
1438,-0.62
1439,-0.71
1440,-0.7
1441,-0.9
1442,-0.78
1443,-0.88
1444,-0.94
1445,-0.96
1446,-1.12
1447,-0.87
1448,-1.01
1449,-0.94
1450,-0.85
1451,-0.81
1452,-0.75
1453,-0.84
1454,-0.82
1455,-0.78
1456,-0.47
1457,-0.58
1458,-0.62
1459,-0.66
1460,-0.84
1461,-0.98
1462,-0.89
1463,-0.72
1464,-0.45
1465,-0.37
1466,-0.55
1467,-0.44
1468,-0.53
1469,-0.28
1470,-0.17
1471,-0.22
1472,-0.09
1473,-0.15
1474,0.21
1475,0.44
1476,0.31
1477,0.18
1478,0.74
1479,0.11
1480,0.09
1481,0.18
1482,0
1483,0.01
1484,-0.33
1485,-0.2
1486,-0.08
1487,-0.25
1488,-0.41
1489,-0.62
1490,-0.67
1491,-0.28
1492,-0.3
1493,-0.39
1494,-0.37
1495,-0.49
1496,-0.51
1497,-0.13
1498,-0.19
1499,-0.04
1500,-0.31
1501,-0.25
1502,0
1503,0.02
1504,0.13
1505,0.04
1506,0.28
1507,0.24
1508,0.66
1509,0.19
1510,0.32
1511,0
1512,-0.26
1513,-0.1
1514,-0.09
1515,0.07
1516,-0.4
1517,-0.13
1518,-0.43
1519,-0.5
1520,-0.63
1521,-0.61
1522,-0.67
1523,-0.58
1524,-0.64
1525,-0.68
1526,-0.62
1527,-0.68
1528,-0.78
1529,-0.84
1530,-0.93
1531,-0.99
1532,-0.8
1533,-1.06
1534,-1.17
1535,-1.04
1536,-0.96
1537,-0.95
1538,-1.04
1539,-0.93
1540,-0.93
1541,-0.92
1542,-0.94
1543,-0.88
1544,-0.82
1545,-0.82
1546,-0.81
1547,-0.93
1548,-0.96
1549,-0.59
1550,-0.46
1551,-0.59
1552,-0.51
1553,-0.46
1554,-0.07
1555,-0.41
1556,-0.26
1557,-0.26
1558,-0.42
1559,-0.51
1560,-0.36
1561,-0.55
1562,-0.44
1563,-0.44
1564,-0.61
1565,-0.61
1566,-0.58
1567,-0.51
1568,-0.55
1569,-0.41
1570,-0.45
1571,-0.59
1572,-0.6
1573,-0.66
1574,-0.73
1575,-0.78
1576,-0.74
1577,-0.66
1578,-0.62
1579,-0.51
1580,-0.31
1581,-0.49
1582,-0.29
1583,-0.53
1584,-0.35
1585,-0.35
1586,-0.49
1587,-0.52
1588,-0.49
1589,-0.52
1590,-0.45
1591,-0.39
1592,-0.75
1593,-0.84
1594,-1.07
1595,-0.88
1596,-0.88
1597,-0.93
1598,-1.04
1599,-1.04
1600,-1.01
1601,-0.94
1602,-0.91
1603,-0.84
1604,-0.66
1605,-0.81
1606,-1.03
1607,-0.84
1608,-0.84
1609,-0.89
1610,-0.82
1611,-0.71
1612,-0.7
1613,-0.66
1614,-0.79
1615,-0.76
1616,-0.86
1617,-0.87
1618,-0.78
1619,-0.76
1620,-0.93
1621,-0.94
1622,-1.02
1623,-0.84
1624,-1.05
1625,-0.99
1626,-1.01
1627,-0.88
1628,-0.93
1629,-0.84
1630,-0.96
1631,-0.82
1632,-0.66
1633,-0.74
1634,-0.71
1635,-0.8
1636,-0.78
1637,-0.86
1638,-0.92
1639,-0.89
1640,-0.93
1641,-1.07
1642,-1.19
1643,-1.08
1644,-1.09
1645,-1.09
1646,-1.08
1647,-1.15
1648,-1.05
1649,-1.15
1650,-0.99
1651,-1.02
1652,-0.96
1653,-0.98
1654,-0.84
1655,-0.98
1656,-0.9
1657,-0.88
1658,-0.8
1659,-0.84
1660,-0.9
1661,-0.7
1662,-0.86
1663,-0.79
1664,-0.79
1665,-0.87
1666,-1
1667,-0.86
1668,-0.97
1669,-0.73
1670,-0.79
1671,-0.96
1672,-0.82
1673,-0.87
1674,-0.75
1675,-0.72
1676,-0.57
1677,-0.7
1678,-0.69
1679,-0.72
1680,-0.57
1681,-0.79
1682,-0.7
1683,-0.48
1684,-0.52
1685,-0.5
1686,-0.72
1687,-0.51
1688,-0.52
1689,-0.43
1690,-0.67
1691,-0.52
1692,-0.71
1693,-0.58
1694,-0.47
1695,-0.57
1696,-0.62
1697,-0.56
1698,-0.58
1699,-0.28
1700,-0.45
1701,-0.05
1702,-0.47
1703,-0.38
1704,-0.19
1705,-0.13
1706,-0.3
1707,-0.17
1708,-0.34
1709,-0.11
1710,-0.16
1711,0.08
1712,-0.25
1713,-0.03
1714,-0.18
1715,-0.05
1716,-0.17
1717,0.02
1718,0.09
1719,-0.18
1720,-0.13
1721,0.03
1722,-0.11
1723,0.08
1724,0.07
1725,0.13
1726,0.33
1727,0
1728,0.29
1729,-0.12
1730,-0.05
1731,-0.12
1732,0.14
1733,-0.01
1734,0.1
1735,0.07
1736,0.26
1737,0.17
1738,0.08
1739,-0.11
1740,-0.03
1741,-0.11
1742,0.13
1743,0.12
1744,0.51
1745,0.3
1746,0.13
1747,0.16
1748,0.19
1749,-0.01
1750,0.04
1751,-0.02
1752,-0.11
1753,-0.19
1754,-0.33
1755,-0.36
1756,-0.18
1757,0.06
1758,-0.04
1759,-0.09
1760,-0.33
1761,-0.06
1762,-0.37
1763,-0.14
1764,-0.24
1765,-0.15
1766,-0.1
1767,-0.26
1768,-0.37
1769,-0.18
1770,-0.37
1771,-0.22
1772,-0.47
1773,-0.42
1774,-0.23
1775,-0.44
1776,-0.57
1777,-0.09
1778,-0.35
1779,-0.22
1780,-0.59
1781,-0.44
1782,-0.32
1783,-0.3
1784,-0.33
1785,-0.35
1786,-0.29
1787,-0.14
1788,0.11
1789,-0.13
1790,-0.28
1791,-0.24
1792,-0.32
1793,-0.52
1794,-0.37
1795,-0.41
1796,-0.44
1797,-0.11
1798,-0.25
1799,-0.11
1800,-0.05
1801,-0.02
1802,-0.1
1803,-0.17
1804,-0.29
1805,-0.22
1806,-0.11
1807,-0.18
1808,-0.16
1809,-0.29
1810,-0.12
1811,0.01
1812,-0.29
1813,-0.29
1814,-0.26
1815,-0.45
1816,-0.06
1817,-0.02
1818,-0.13
1819,-0.14
1820,-0.12
1821,-0.07
1822,-0.06
1823,-0.33
1824,-0.4
1825,-0.24
1826,-0.24
1827,-0.3
1828,-0.29
1829,-0.28
1830,-0.24
1831,-0.24
1832,-0.28
1833,-0.39
1834,-0.58
1835,-0.36
1836,-0.32
1837,-0.68
1838,-0.37
1839,-0.49
1840,-0.27
1841,-0.42
1842,-0.32
1843,-0.32
1844,-0.27
1845,-0.23
1846,-0.36
1847,-0.07
1848,-0.15
1849,0.05
1850,0.1
1851,-0.29
1852,-0.23
1853,0.04
1854,-0.17
1855,-0.45
1856,-0.18
1857,-0.06
1858,-0.8
1859,-0.35
1860,-0.33
1861,-0.23
1862,-0.29
1863,-0.14
1864,-0.07
1865,0.08
1866,-0.16
1867,-0.34
1868,-0.12
1869,-0.21
1870,-0.39
1871,-0.16
1872,-0.56
1873,0.08
1874,0.17
1875,-0.21
1876,-0.25
1877,-0.23
1878,-0.06
1879,-0.19
1880,-0.27
1881,-0.25
1882,-0.41
1883,-0.21
1884,-0.48
1885,-0.59
1886,-0.48
1887,-0.4
1888,-0.76
1889,-0.6
1890,-0.77
1891,-0.61
1892,-0.72
1893,-0.89
1894,-0.82
1895,-0.98
1896,-0.63
1897,-0.7
1898,-0.83
1899,-0.61
1900,-0.63
1901,-0.76
1902,-0.8
1903,-0.66
1904,-0.88
1905,-0.82
1906,-0.87
1907,-0.85
1908,-1.32
1909,-0.9
1910,-0.47
1911,-0.65
1912,-0.52
1913,-0.31
1914,0.33
1915,-0.52
