Alnus,Calluna,Sphagnum
6,6,4
20,7,10
22,15,12
31,36,13
35,40,18
36,42,22
40,43,64
51,67,74
56,78,79
61,85,84
91,86,94
109,87,105
131,88,106
146,89,125
157,92,133
166,97,155
189,101,168
190,124,169
197,139,183
198,140,187
202,190,194
204,198,217
207,203,238
212,218,245
213,253,248
217,296,253
237,298,255
243,299,261
244,358,263
247,361,293
251,439,299
262,466,309
263,479,318
276,501,326
297,601,337
367,,342
391,,390
392,,391
423,,414
434,,451
438,,503
,,555
,,558
,,577
,,692
