"","yearBP","vssi","Century","vssi_agg"
"812",-7529,7.53,NA,NA
"813",-7538,13.01,NA,NA
"814",-7559,2.37,NA,NA
"815",-7565,9.26,NA,NA
"816",-7575,161.67,NA,NA
"817",-7582,7.14,NA,NA
"818",-7586,13.77,NA,NA
"819",-7598,0.39,NA,NA
"820",-7605,0.16,NA,NA
"821",-7638,5.41,NA,NA
"822",-7649,11.65,NA,NA
"823",-7671,3.75,NA,NA
"824",-7675,14.1,NA,NA
"825",-7678,0.56,NA,NA
"826",-7698,2.53,NA,NA
"827",-7712,4,NA,NA
"828",-7726,1.05,NA,NA
"829",-7735,1.34,NA,NA
"830",-7739,0.17,NA,NA
"831",-7743,4.18,NA,NA
"832",-7750,9.35,NA,NA
"833",-7759,5.13,NA,NA
"834",-7772,2.01,NA,NA
"835",-7798,20.03,NA,NA
"836",-7805,7.72,NA,NA
"837",-7813,4.63,NA,NA
"838",-7818,0.87,NA,NA
"839",-7826,2.42,NA,NA
"840",-7836,7.29,NA,NA
"841",-7839,2.98,NA,NA
"842",-7854,1.52,NA,NA
"843",-7860,2.69,NA,NA
"844",-7864,1.63,NA,NA
"845",-7868,1.48,NA,NA
"846",-7874,30.05,NA,NA
"847",-7885,4.66,NA,NA
"848",-7895,0.53,NA,NA
"849",-7897,0.29,NA,NA
"850",-7913,1.92,NA,NA
"851",-7918,0.18,NA,NA
"852",-7931,0.8,NA,NA
"853",-7958,4.04,NA,NA
"854",-7964,0.72,NA,NA
"855",-7969,13.3,NA,NA
"856",-7975,0.48,NA,NA
"857",-7982,2.17,NA,NA
"858",-7986,0.62,NA,NA
"859",-7989,10.25,NA,NA
"860",-7991,0.29,NA,NA
"861",-7993,0.19,NA,NA
"862",-7995,0.25,NA,NA
"863",-7997,0.35,NA,NA
"864",-8000,0.92,NA,NA
"865",-8003,12.9,NA,NA
"866",-8017,3.86,NA,NA
"867",-8039,1.11,NA,NA
"868",-8046,0.78,NA,NA
"869",-8055,7.02,NA,NA
"870",-8063,4.18,NA,NA
"871",-8072,0.51,NA,NA
"872",-8078,3.39,NA,NA
"873",-8092,14.42,NA,NA
"874",-8114,4.73,NA,NA
"875",-8131,0.22,NA,NA
"876",-8142,0.87,NA,NA
"877",-8147,1.61,NA,NA
"878",-8152,0.65,NA,NA
"879",-8155,10.04,NA,NA
"880",-8161,6.37,NA,NA
"881",-8169,17.5,NA,NA
"882",-8176,1.56,NA,NA
"883",-8181,17.92,NA,NA
"884",-8192,3.29,NA,NA
"885",-8201,2.1,NA,NA
"886",-8217,0.43,NA,NA
"887",-8223,4.36,NA,NA
"888",-8225,0.42,NA,NA
"889",-8232,40.06,NA,NA
"890",-8236,5.47,NA,NA
"891",-8238,1.82,NA,NA
"892",-8241,0.78,NA,NA
"893",-8247,2.95,NA,NA
"894",-8252,7.37,NA,NA
"895",-8254,6.13,NA,NA
"896",-8266,2.22,NA,NA
"897",-8270,2.79,NA,NA
"898",-8285,1.64,NA,NA
"899",-8291,52.48,NA,NA
"900",-8314,1.45,NA,NA
"901",-8324,1.59,NA,NA
"902",-8331,1.08,NA,NA
"903",-8333,6.24,NA,NA
"904",-8342,4.12,NA,NA
"905",-8354,0.9,NA,NA
"906",-8366,141.9,NA,NA
"907",-8369,1.09,NA,NA
"908",-8373,0.59,NA,NA
"909",-8379,3.1,NA,NA
"910",-8390,1.91,NA,NA
"911",-8404,6.58,NA,NA
"912",-8411,5.87,NA,NA
"913",-8414,2.86,NA,NA
"914",-8425,6.1,NA,NA
"915",-8439,9.45,NA,NA
"916",-8443,13.88,NA,NA
"917",-8456,0.61,NA,NA
"918",-8465,0.9,NA,NA
"919",-8490,2.92,NA,NA
"920",-8500,20.08,NA,NA
"921",-8506,0.25,NA,NA
"922",-8515,1.15,NA,NA
"923",-8525,0.2,NA,NA
"924",-8528,4.16,NA,NA
"925",-8533,0.52,NA,NA
"926",-8537,0.2,NA,NA
"927",-8541,2.18,NA,NA
"928",-8554,1.4,NA,NA
"929",-8564,3.36,NA,NA
"930",-8572,6.08,NA,NA
"931",-8588,0.84,NA,NA
"932",-8601,5.91,NA,NA
"933",-8609,9.88,NA,NA
"934",-8617,155.9,NA,NA
"935",-8620,1.39,NA,NA
"936",-8629,1.29,NA,NA
"937",-8633,2.13,NA,NA
"938",-8644,1.98,NA,NA
"939",-8659,21.51,NA,NA
"940",-8669,5.38,NA,NA
"941",-8678,0.92,NA,NA
"942",-8684,5.72,NA,NA
"943",-8690,2.27,NA,NA
"944",-8695,5.27,NA,NA
"945",-8698,1.88,NA,NA
"946",-8714,7.49,NA,NA
"947",-8719,2.79,NA,NA
"948",-8727,3.11,NA,NA
"949",-8737,1.34,NA,NA
"950",-8743,4.76,NA,NA
"951",-8747,0.37,NA,NA
"952",-8753,0.44,NA,NA
"953",-8761,1.97,NA,NA
"954",-8765,0.42,NA,NA
"955",-8784,0.87,NA,NA
"956",-8800,1.81,NA,NA
"957",-8808,9.83,NA,NA
"958",-8828,3.62,NA,NA
"959",-8832,2.56,NA,NA
"960",-8843,2.4,NA,NA
"961",-8849,9.2,NA,NA
"962",-8854,36.77,NA,NA
"963",-8856,0.63,NA,NA
"964",-8863,1.19,NA,NA
"965",-8874,8.61,NA,NA
"966",-8879,4.32,NA,NA
"967",-8901,1.61,NA,NA
"968",-8908,2.88,NA,NA
"969",-8925,0.35,NA,NA
"970",-8929,5.76,NA,NA
"971",-8937,1.95,NA,NA
"972",-8941,1.08,NA,NA
"973",-8945,8.18,NA,NA
"974",-8950,0.4,NA,NA
"975",-8958,14.62,NA,NA
"976",-8963,12.75,NA,NA
"977",-8968,3.71,NA,NA
"978",-8972,1.9,NA,NA
"979",-8986,1.26,NA,NA
"980",-9000,25.47,NA,NA
"981",-9009,2.05,NA,NA
"982",-9052,1.8,NA,NA
"983",-9063,1.22,NA,NA
"984",-9067,36.59,NA,NA
"985",-9073,10.31,NA,NA
"986",-9079,3.94,NA,NA
"987",-9082,1.54,NA,NA
"988",-9088,0.9,NA,NA
"989",-9101,0.22,NA,NA
"990",-9111,2.06,NA,NA
"991",-9135,1.16,NA,NA
"992",-9137,10.22,NA,NA
"993",-9146,3.42,NA,NA
"994",-9149,4.15,NA,NA
"995",-9153,4.91,NA,NA
"996",-9166,9.28,NA,NA
"997",-9178,7.14,NA,NA
"998",-9182,1.46,NA,NA
"999",-9187,2.71,NA,NA
"1000",-9191,1.49,NA,NA
"1001",-9198,5.29,NA,NA
"1002",-9205,5.12,NA,NA
"1003",-9208,0.75,NA,NA
"1004",-9214,2.56,NA,NA
"1005",-9218,0.53,NA,NA
"1006",-9227,3.6,NA,NA
"1007",-9236,4.27,NA,NA
"1008",-9241,1.27,NA,NA
"1009",-9250,6.42,NA,NA
"1010",-9259,0.2,NA,NA
"1011",-9283,6.45,NA,NA
"1012",-9289,3.95,NA,NA
"1013",-9301,4.04,NA,NA
"1014",-9316,2.18,NA,NA
"1015",-9319,4.68,NA,NA
"1016",-9330,7.48,NA,NA
"1017",-9334,5,NA,NA
"1018",-9354,14.2,NA,NA
"1019",-9358,3.71,NA,NA
"1020",-9360,0.18,NA,NA
"1021",-9374,0.23,NA,NA
"1022",-9377,0.31,NA,NA
"1023",-9379,0.27,NA,NA
"1024",-9381,0.39,NA,NA
"1025",-9384,0.45,NA,NA
"1026",-9395,1.61,NA,NA
"1027",-9404,10.65,NA,NA
"1028",-9409,5.7,NA,NA
"1029",-9413,0.47,NA,NA
"1030",-9415,0.45,NA,NA
"1031",-9418,0.69,NA,NA
"1032",-9420,0.74,NA,NA
"1033",-9422,0.55,NA,NA
"1034",-9427,0.43,NA,NA
"1035",-9429,0.67,NA,NA
"1036",-9432,1.06,NA,NA
"1037",-9434,1.41,NA,NA
"1038",-9435,4.85,NA,NA
"1039",-9438,0.75,NA,NA
"1040",-9441,1.13,NA,NA
"1041",-9443,0.73,NA,NA
"1042",-9445,0.76,NA,NA
"1043",-9448,1.24,NA,NA
"1044",-9450,1.46,NA,NA
"1045",-9452,18.84,NA,NA
"1046",-9454,1.48,NA,NA
"1047",-9456,8.97,NA,NA
"1048",-9459,0.69,NA,NA
"1049",-9462,14.8,NA,NA
"1050",-9464,0.71,NA,NA
"1051",-9466,0.53,NA,NA
"1052",-9468,0.76,NA,NA
"1053",-9470,0.86,NA,NA
"1054",-9472,0.57,NA,NA
"1055",-9486,1.97,NA,NA
"1056",-9496,25.29,NA,NA
"1057",-9517,7.84,NA,NA
"1058",-9520,2.63,NA,NA
"1059",-9543,0.29,NA,NA
"1060",-9551,7.87,NA,NA
"1061",-9562,6.15,NA,NA
"1062",-9577,7.48,NA,NA
"1063",-9594,5.22,NA,NA
"1064",-9608,1.65,NA,NA
"1065",-9627,3.41,NA,NA
"1066",-9632,1.75,NA,NA
"1067",-9643,0.38,NA,NA
"1068",-9651,4.72,NA,NA
"1069",-9662,1.75,NA,NA
"1070",-9674,8.57,NA,NA
"1071",-9680,0.41,NA,NA
"1072",-9683,0.75,NA,NA
"1073",-9685,0.37,NA,NA
"1074",-9685,10.08,NA,NA
"1075",-9689,0.69,NA,NA
"1076",-9691,0.8,NA,NA
"1077",-9693,0.63,NA,NA
"1078",-9695,0.98,NA,NA
"1079",-9697,1.88,NA,NA
"1080",-9699,1.25,NA,NA
"1081",-9701,1,NA,NA
"1082",-9703,0.73,NA,NA
"1083",-9705,0.33,NA,NA
"1084",-9707,0.51,NA,NA
"1085",-9708,6.56,NA,NA
"1086",-9711,4.68,NA,NA
"1087",-9713,0.36,NA,NA
"1088",-9715,0.48,NA,NA
"1089",-9720,0.32,NA,NA
"1090",-9728,17.48,NA,NA
"1091",-9757,10.98,NA,NA
"1092",-9761,0.18,NA,NA
"1093",-9773,3.1,NA,NA
"1094",-9788,14.29,NA,NA
"1095",-9793,45.22,NA,NA
"1096",-9810,4.97,NA,NA
"1097",-9816,0.75,NA,NA
"1098",-9821,0.25,NA,NA
"1099",-9829,13.33,NA,NA
"1100",-9832,0.19,NA,NA
"1101",-9837,0.36,NA,NA
"1102",-9839,0.23,NA,NA
"1103",-9842,15.44,NA,NA
"1104",-9844,0.31,NA,NA
"1105",-9846,0.62,NA,NA
"1106",-9848,0.57,NA,NA
"1107",-9850,0.5,NA,NA
"1108",-9852,0.6,NA,NA
"1109",-9854,0.76,NA,NA
"1110",-9868,2.13,NA,NA
"1111",-9873,0.49,NA,NA
"1112",-9875,14.85,NA,NA
"1113",-9877,0.88,NA,NA
"1114",-9879,1.64,NA,NA
"1115",-9881,0.34,NA,NA
"1116",-9887,1.91,NA,NA
"1117",-9891,2.25,NA,NA
"1118",-9895,0.36,NA,NA
"1119",-9898,0.34,NA,NA
"1120",-9902,8.72,NA,NA
"1121",-9904,0.31,NA,NA
"1122",-9908,0.19,NA,NA
"1123",-9918,12.64,NA,NA
"1124",-9933,0.39,NA,NA
"1125",-9935,0.61,NA,NA
"1126",-9938,13.09,NA,NA
"1127",-9939,1.25,NA,NA
"1128",-9941,1.35,NA,NA
"1129",-9944,1.49,NA,NA
"1130",-9946,0.52,NA,NA
"1131",-9948,1.26,NA,NA
"1132",-9950,1.38,NA,NA
"1133",-9952,1.74,NA,NA
"1134",-9974,13.15,NA,NA
"1135",-9977,23.73,NA,NA
"1136",-9986,14.9,NA,NA
"1137",-10000,0.51,NA,NA
"1138",-10002,0.31,NA,NA
"1139",-10004,0.35,NA,NA
"1140",-10006,1.37,NA,NA
"1141",-10009,7.05,NA,NA
"1142",-10010,0.49,NA,NA
"1143",-10015,6.46,NA,NA
"1144",-10016,0.43,NA,NA
"1145",-10019,8.96,NA,NA
"1146",-10020,1.75,NA,NA
"1147",-10024,18.24,NA,NA
"1148",-10049,0.5,NA,NA
"1149",-10053,0.78,NA,NA
"1150",-10065,0.96,NA,NA
"1151",-10084,72.45,NA,NA
"1152",-10092,8.44,NA,NA
"1153",-10097,1.87,NA,NA
"1154",-10101,1.28,NA,NA
"1155",-10112,1.34,NA,NA
"1156",-10119,17.12,NA,NA
"1157",-10122,0.51,NA,NA
"1158",-10133,28.08,NA,NA
"1159",-10151,0.52,NA,NA
"1160",-10166,3.31,NA,NA
"1161",-10169,0.14,NA,NA
"1162",-10176,4.32,NA,NA
"1163",-10185,2.66,NA,NA
"1164",-10190,0.47,NA,NA
"1165",-10193,2.7,NA,NA
"1166",-10201,0.45,NA,NA
"1167",-10205,0.79,NA,NA
"1168",-10208,0.17,NA,NA
"1169",-10211,0.38,NA,NA
"1170",-10214,1.8,NA,NA
"1171",-10222,0.31,NA,NA
"1172",-10225,7.09,NA,NA
"1173",-10227,80.07,NA,NA
"1174",-10228,0.66,NA,NA
"1175",-10230,0.81,NA,NA
"1176",-10232,0.83,NA,NA
"1177",-10235,0.85,NA,NA
"1178",-10237,52.26,NA,NA
"1179",-10239,21.39,NA,NA
"1180",-10241,1.13,NA,NA
"1181",-10243,1.87,NA,NA
"1182",-10245,1.78,NA,NA
"1183",-10247,1.63,NA,NA
"1184",-10250,1.87,NA,NA
"1185",-10252,0.98,NA,NA
"1186",-10254,1.23,NA,NA
"1187",-10258,10.06,NA,NA
"1188",-10262,1.91,NA,NA
"1189",-10279,12.57,NA,NA
"1190",-10299,0.54,NA,NA
"1191",-10302,0.46,NA,NA
"1192",-10309,1.42,NA,NA
"1193",-10315,4.92,NA,NA
"1194",-10322,0.55,NA,NA
"1195",-10324,0.53,NA,NA
"1196",-10326,1.16,NA,NA
"1197",-10328,0.44,NA,NA
"1198",-10329,9.25,NA,NA
"1199",-10333,11.53,NA,NA
"1200",-10336,1.29,NA,NA
"1201",-10352,5.17,NA,NA
"1202",-10354,0.6,NA,NA
"1203",-10356,2.55,NA,NA
"1204",-10358,8.3,NA,NA
"1205",-10360,27.87,NA,NA
"1206",-10362,1.41,NA,NA
"1207",-10380,2.36,NA,NA
"1208",-10384,1.41,NA,NA
"1209",-10391,27.17,NA,NA
"1210",-10396,5.84,NA,NA
"1211",-10400,0.3,NA,NA
"1212",-10405,12.3,NA,NA
"1213",-10415,5.12,NA,NA
"1214",-10435,24.65,NA,NA
"1215",-10439,0.32,NA,NA
"1216",-10443,2.67,NA,NA
"1217",-10467,18.91,NA,NA
"1218",-10473,1.92,NA,NA
"1219",-10475,16.84,NA,NA
"1220",-10480,0.61,NA,NA
"1221",-10488,1.25,NA,NA
"1222",-10500,16.61,NA,NA
"1223",-10503,0.34,NA,NA
"1224",-10508,7.39,NA,NA
"1225",-10525,8.71,NA,NA
"1226",-10531,5.43,NA,NA
"1227",-10543,1.97,NA,NA
"1228",-10552,0.34,NA,NA
"1229",-10554,0.69,NA,NA
"1230",-10557,0.79,NA,NA
"1231",-10559,9.52,NA,NA
"1232",-10561,0.65,NA,NA
"1233",-10568,3.54,NA,NA
"1234",-10573,4.67,NA,NA
"1235",-10589,4.98,NA,NA
"1236",-10602,0.62,NA,NA
"1237",-10604,33.56,NA,NA
"1238",-10616,1.78,NA,NA
"1239",-10624,5.46,NA,NA
"1240",-10634,0.46,NA,NA
"1241",-10640,0.87,NA,NA
"1242",-10644,0.99,NA,NA
"1243",-10652,0.4,NA,NA
"1244",-10658,3.97,NA,NA
"1245",-10663,2.64,NA,NA
"1246",-10669,0.55,NA,NA
"1247",-10671,0.46,NA,NA
"1248",-10673,0.35,NA,NA
"1249",-10674,8.32,NA,NA
"1250",-10677,0.57,NA,NA
"1251",-10680,0.5,NA,NA
"1252",-10682,0.37,NA,NA
"1253",-10684,0.48,NA,NA
"1254",-10686,0.8,NA,NA
"1255",-10688,0.85,NA,NA
"1256",-10690,0.65,NA,NA
"1257",-10692,0.93,NA,NA
"1258",-10694,0.35,NA,NA
"1259",-10696,0.45,NA,NA
"1260",-10698,0.4,NA,NA
"1261",-10701,0.62,NA,NA
"1262",-10703,10.28,NA,NA
"1263",-10706,0.2,NA,NA
"1264",-10713,0.22,NA,NA
"1265",-10717,0.15,NA,NA
"1266",-10731,1.46,NA,NA
"1267",-10740,3.91,NA,NA
"1268",-10742,0.3,NA,NA
"1269",-10747,0.33,NA,NA
"1270",-10762,0.8,NA,NA
"1271",-10765,2.51,NA,NA
"1272",-10771,2.73,NA,NA
"1273",-10778,2.74,NA,NA
"1274",-10785,3.48,NA,NA
"1275",-10788,16.88,NA,NA
"1276",-10792,0.18,NA,NA
"1277",-10794,1.97,NA,NA
"1278",-10811,0.67,NA,NA
"1279",-10815,4.51,NA,NA
"1280",-10819,0.45,NA,NA
"1281",-10821,0.34,NA,NA
"1282",-10823,3.07,NA,NA
"1283",-10825,0.41,NA,NA
"1284",-10827,3.15,NA,NA
"1285",-10829,0.33,NA,NA
"1286",-10838,0.43,NA,NA
"1287",-10847,4.06,NA,NA
"1288",-10856,14.57,NA,NA
"1289",-10884,0.31,NA,NA
"1290",-10895,0.84,NA,NA
"1291",-10914,5.46,NA,NA
"1292",-10915,0.46,NA,NA
"1293",-10917,0.8,NA,NA
"1294",-10920,4.63,NA,NA
"1295",-10921,0.23,NA,NA
"1296",-10933,1.79,NA,NA
"1297",-10941,9.88,NA,NA
"1298",-10945,0.32,NA,NA
"1299",-10952,0.39,NA,NA
"1300",-10960,83.67,NA,NA
"1301",-10964,0.39,NA,NA
"1302",-10968,8.43,NA,NA
"1303",-10972,4.59,NA,NA
"1304",-10981,16.53,NA,NA
"1305",-10986,32.24,NA,NA
"1306",-10992,5.64,NA,NA
"1307",-10996,0.45,NA,NA
"1308",-11000,1.55,NA,NA
"1309",-11017,13.85,NA,NA
"1310",-11021,6.98,NA,NA
"1311",-11033,12.33,NA,NA
"1312",-11043,0.36,NA,NA
"1313",-11076,12.89,NA,NA
"1314",-11088,0.29,NA,NA
"1315",-11091,12.18,NA,NA
"1316",-11092,0.29,NA,NA
"1317",-11094,0.65,NA,NA
"1318",-11096,0.7,NA,NA
"1319",-11098,0.58,NA,NA
"1320",-11100,0.82,NA,NA
"1321",-11101,0.91,NA,NA
"1322",-11103,19.86,NA,NA
"1323",-11116,0.38,NA,NA
"1324",-11118,0.34,NA,NA
"1325",-11120,0.3,NA,NA
"1326",-11121,0.37,NA,NA
"1327",-11124,3.47,NA,NA
"1328",-11126,4.54,NA,NA
"1329",-11127,0.73,NA,NA
"1330",-11129,0.54,NA,NA
"1331",-11131,0.69,NA,NA
"1332",-11134,20.36,NA,NA
"1333",-11134,0.83,NA,NA
"1334",-11136,0.68,NA,NA
"1335",-11138,13.02,NA,NA
"1336",-11140,0.37,NA,NA
"1337",-11142,0.49,NA,NA
"1338",-11154,23.49,NA,NA
"1339",-11162,5.8,NA,NA
"1340",-11169,20.42,NA,NA
"1341",-11176,155.95,NA,NA
"1342",-11192,7.73,NA,NA
"1343",-11194,0.28,NA,NA
"1344",-11197,0.45,NA,NA
"1345",-11207,20.11,NA,NA
"1346",-11224,0.29,NA,NA
"1347",-11228,1.74,NA,NA
"1348",-11241,0.39,NA,NA
"1349",-11249,2.73,NA,NA
"1350",-11254,0.72,NA,NA
"1351",-11256,0.53,NA,NA
"1352",-11258,0.83,NA,NA
"1353",-11260,0.36,NA,NA
"1354",-11262,0.8,NA,NA
"1355",-11269,8.11,NA,NA
"1356",-11276,0.76,NA,NA
"1357",-11278,0.56,NA,NA
"1358",-11280,0.65,NA,NA
"1359",-11282,0.71,NA,NA
"1360",-11285,0.73,NA,NA
"1361",-11291,3.04,NA,NA
"1362",-11295,0.94,NA,NA
"1363",-11298,0.42,NA,NA
"1364",-11300,0.61,NA,NA
"1365",-11302,0.34,NA,NA
"1366",-11303,6.69,NA,NA
"1367",-11309,2.38,NA,NA
"1368",-11324,3.93,NA,NA
"1369",-11329,2.94,NA,NA
"1370",-11337,0.19,NA,NA
"1371",-11339,13.84,NA,NA
"1372",-11346,42.97,NA,NA
"1373",-11353,12.57,NA,NA
"1374",-11362,1.08,NA,NA
"1375",-11369,11.22,NA,NA
"1376",-11372,6.07,NA,NA
"1377",-11378,5.23,NA,NA
"1378",-11384,5.29,NA,NA
"1379",-11390,6.75,NA,NA
"1380",-11401,0.44,NA,NA
"1381",-11414,5.65,NA,NA
"1382",-11427,0.22,NA,NA
"1383",-11442,9.13,NA,NA
"1384",-11444,57.9,NA,NA
"1385",-11447,2.89,NA,NA
"1386",-11450,0,NA,NA
