"","yearBP","vssi","Century","vssi_agg"
"181",-1639,1.05,NA,NA
"182",-1643,1.25,NA,NA
"183",-1646,8.54,NA,NA
"184",-1651,3.39,NA,NA
"185",-1659,0.42,NA,NA
"186",-1667,0.28,NA,NA
"187",-1671,6.9,NA,NA
"188",-1684,23.38,NA,NA
"189",-1687,3.43,NA,NA
"190",-1714,12.14,NA,NA
"191",-1721,1.22,NA,NA
"192",-1732,3.48,NA,NA
"193",-1735,0.88,NA,NA
"194",-1744,2.23,NA,NA
"195",-1747,0.8,NA,NA
"196",-1749,0.32,NA,NA
"197",-1759,1.88,NA,NA
"198",-1763,1.92,NA,NA
"199",-1776,1.22,NA,NA
"200",-1781,12.41,NA,NA
"201",-1786,1.16,NA,NA
"202",-1789,4.1,NA,NA
"203",-1800,0.57,NA,NA
"204",-1807,1.87,NA,NA
"205",-1812,0.21,NA,NA
"206",-1826,7.39,NA,NA
"207",-1829,1.38,NA,NA
"208",-1845,0.28,NA,NA
"209",-1855,2.23,NA,NA
"210",-1862,8.92,NA,NA
"211",-1867,0.22,NA,NA
"212",-1871,2.37,NA,NA
"213",-1873,0.45,NA,NA
"214",-1880,0.66,NA,NA
"215",-1889,2.48,NA,NA
"216",-1892,1.18,NA,NA
"217",-1896,0.87,NA,NA
"218",-1904,6.47,NA,NA
"219",-1919,0.85,NA,NA
"220",-1935,0.46,NA,NA
"221",-1946,0.26,NA,NA
"222",-1960,6.17,NA,NA
"223",-1972,2.03,NA,NA
"224",-1984,0.2,NA,NA
"225",-1989,2.73,NA,NA
"226",-1999,56.02,NA,NA
"227",-2020,1.17,NA,NA
"228",-2024,0.21,NA,NA
"229",-2029,1.09,NA,NA
"230",-2033,1.01,NA,NA
"231",-2036,0.87,NA,NA
"232",-2042,7.53,NA,NA
"233",-2051,3.03,NA,NA
"234",-2057,1.86,NA,NA
"235",-2075,2.64,NA,NA
"236",-2078,3.62,NA,NA
"237",-2084,0.22,NA,NA
"238",-2090,22.14,NA,NA
"239",-2095,14.95,NA,NA
"240",-2101,3.54,NA,NA
"241",-2109,0.53,NA,NA
"242",-2111,0.67,NA,NA
"243",-2114,0.32,NA,NA
"244",-2116,0.77,NA,NA
"245",-2120,0.97,NA,NA
"246",-2123,18.46,NA,NA
"247",-2164,6.78,NA,NA
"248",-2172,3.66,NA,NA
"249",-2179,0.25,NA,NA
"250",-2182,0.2,NA,NA
"251",-2186,0.44,NA,NA
"252",-2200,17.9,NA,NA
"253",-2202,0.55,NA,NA
"254",-2210,2.42,NA,NA
"255",-2235,3.8,NA,NA
"256",-2244,3.15,NA,NA
"257",-2253,2.46,NA,NA
"258",-2278,1.17,NA,NA
"259",-2284,4.64,NA,NA
"260",-2291,1.2,NA,NA
"261",-2294,0.22,NA,NA
"262",-2298,0.99,NA,NA
"263",-2301,6.56,NA,NA
"264",-2304,5.24,NA,NA
"265",-2310,0.81,NA,NA
"266",-2328,0.33,NA,NA
"267",-2337,0.41,NA,NA
"268",-2344,15.77,NA,NA
"269",-2347,9.94,NA,NA
"270",-2357,0.22,NA,NA
"271",-2362,1.22,NA,NA
"272",-2379,63.58,NA,NA
"273",-2386,0.45,NA,NA
"274",-2398,2.02,NA,NA
"275",-2412,3.26,NA,NA
"276",-2418,1.07,NA,NA
"277",-2421,0.86,NA,NA
"278",-2429,6.35,NA,NA
"279",-2433,5.35,NA,NA
"280",-2439,4.14,NA,NA
"281",-2444,0.91,NA,NA
"282",-2454,1.31,NA,NA
"283",-2467,1.95,NA,NA
"284",-2474,1.57,NA,NA
"285",-2481,1.08,NA,NA
"286",-2484,2.17,NA,NA
"287",-2492,0.19,NA,NA
"288",-2522,23.68,NA,NA
"289",-2533,8.67,NA,NA
"290",-2540,1.46,NA,NA
"291",-2549,6.81,NA,NA
"292",-2556,8.76,NA,NA
"293",-2564,2.55,NA,NA
"294",-2567,0.22,NA,NA
"295",-2579,5.11,NA,NA
"296",-2599,19.44,NA,NA
"297",-2605,0.21,NA,NA
"298",-2611,7.73,NA,NA
"299",-2626,7.11,NA,NA
"300",-2656,7.87,NA,NA
"301",-2660,1.86,NA,NA
"302",-2665,4.12,NA,NA
"303",-2674,22.59,NA,NA
"304",-2680,0.51,NA,NA
"305",-2683,0.17,NA,NA
"306",-2693,0.19,NA,NA
"307",-2701,0.47,NA,NA
"308",-2706,0.16,NA,NA
"309",-2708,0.26,NA,NA
"310",-2711,0.57,NA,NA
"311",-2713,0.29,NA,NA
"312",-2715,0.19,NA,NA
"313",-2721,3.23,NA,NA
"314",-2730,0.19,NA,NA
"315",-2736,3.85,NA,NA
"316",-2741,0.37,NA,NA
"317",-2752,1.22,NA,NA
"318",-2761,2.58,NA,NA
"319",-2785,4.6,NA,NA
"320",-2798,8.37,NA,NA
"321",-2814,0.51,NA,NA
"322",-2843,2.31,NA,NA
"323",-2855,0.18,NA,NA
"324",-2861,2.08,NA,NA
"325",-2872,2.61,NA,NA
"326",-2896,3.2,NA,NA
"327",-2908,0.19,NA,NA
"328",-2914,0.98,NA,NA
"329",-2927,4.35,NA,NA
"330",-2935,0.44,NA,NA
"331",-2939,2.98,NA,NA
"332",-2951,7.7,NA,NA
"333",-2964,2.79,NA,NA
"334",-2968,0.19,NA,NA
"335",-2971,3.22,NA,NA
"336",-2986,22.58,NA,NA
"337",-2991,0.68,NA,NA
"338",-3029,0.22,NA,NA
"339",-3035,2.86,NA,NA
"340",-3041,0.88,NA,NA
"341",-3048,1.66,NA,NA
"342",-3051,1.1,NA,NA
"343",-3055,1.73,NA,NA
"344",-3064,2.93,NA,NA
"345",-3079,1.29,NA,NA
"346",-3091,2.73,NA,NA
"347",-3100,0.51,NA,NA
"348",-3109,0.61,NA,NA
"349",-3125,32.83,NA,NA
"350",-3135,3.91,NA,NA
"351",-3147,0.18,NA,NA
"352",-3155,2.51,NA,NA
"353",-3161,1.07,NA,NA
"354",-3187,0.95,NA,NA
"355",-3192,0.92,NA,NA
"356",-3199,0.85,NA,NA
"357",-3201,0.24,NA,NA
"358",-3203,0.25,NA,NA
"359",-3205,0.32,NA,NA
"360",-3206,10.74,NA,NA
"361",-3209,4.48,NA,NA
"362",-3212,0.53,NA,NA
"363",-3214,0.43,NA,NA
"364",-3239,0.65,NA,NA
"365",-3249,4.5,NA,NA
"366",-3258,4.8,NA,NA
"367",-3263,0.87,NA,NA
"368",-3270,0.21,NA,NA
"369",-3275,0.36,NA,NA
"370",-3289,0.35,NA,NA
"371",-3300,0.88,NA,NA
"372",-3314,4.75,NA,NA
"373",-3318,1.37,NA,NA
"374",-3354,0.73,NA,NA
"375",-3359,18.86,NA,NA
"376",-3361,0.21,NA,NA
"377",-3368,2.62,NA,NA
"378",-3375,33.49,NA,NA
"379",-3385,0.26,NA,NA
"380",-3388,0.18,NA,NA
"381",-3390,0.18,NA,NA
"382",-3420,1.22,NA,NA
"383",-3428,1.54,NA,NA
"384",-3451,0.34,NA,NA
"385",-3481,1.26,NA,NA
"386",-3486,1.17,NA,NA
"387",-3489,5.88,NA,NA
"388",-3503,17.64,NA,NA
"389",-3506,0.6,NA,NA
"390",-3509,0.13,NA,NA
"391",-3511,0.77,NA,NA
"392",-3512,14.03,NA,NA
"393",-3524,1.3,NA,NA
"394",-3535,24.65,NA,NA
"395",-3547,0.87,NA,NA
"396",-3553,0.67,NA,NA
"397",-3563,0.77,NA,NA
"398",-3576,0.26,NA,NA
"399",-3580,22.77,NA,NA
"400",-3591,0.21,NA,NA
"401",-3596,0.21,NA,NA
"402",-3603,0.88,NA,NA
"403",-3608,45.17,NA,NA
"404",-3612,2.62,NA,NA
"405",-3632,15.92,NA,NA
"406",-3641,0.5,NA,NA
"407",-3651,0.36,NA,NA
"408",-3663,0.77,NA,NA
"409",-3670,3.06,NA,NA
"410",-3687,3.11,NA,NA
"411",-3691,2.74,NA,NA
"412",-3698,1.97,NA,NA
"413",-3707,1.94,NA,NA
"414",-3712,0.34,NA,NA
"415",-3714,0.46,NA,NA
"416",-3716,0.67,NA,NA
"417",-3719,0.3,NA,NA
"418",-3721,0.55,NA,NA
"419",-3723,0.69,NA,NA
"420",-3725,0.49,NA,NA
"421",-3727,0.41,NA,NA
"422",-3729,1.28,NA,NA
"423",-3732,0.21,NA,NA
"424",-3736,0.31,NA,NA
"425",-3739,0.39,NA,NA
"426",-3745,0.2,NA,NA
"427",-3747,0.16,NA,NA
"428",-3754,4.83,NA,NA
"429",-3766,6.58,NA,NA
"430",-3769,0.17,NA,NA
"431",-3792,4.17,NA,NA
"432",-3816,0.19,NA,NA
"433",-3818,0.61,NA,NA
"434",-3819,6.1,NA,NA
"435",-3822,0.17,NA,NA
"436",-3824,0.39,NA,NA
"437",-3826,0.19,NA,NA
"438",-3828,0.33,NA,NA
"439",-3832,18.72,NA,NA
"440",-3837,0.64,NA,NA
"441",-3843,4.12,NA,NA
"442",-3852,1.53,NA,NA
"443",-3877,12.3,NA,NA
"444",-3881,0.36,NA,NA
"445",-3889,13.76,NA,NA
"446",-3895,0.23,NA,NA
"447",-3901,0.74,NA,NA
"448",-3920,1.4,NA,NA
"449",-3927,13.99,NA,NA
"450",-3939,0.91,NA,NA
"451",-3972,0.62,NA,NA
"452",-3979,0.42,NA,NA
"453",-3991,7.34,NA,NA
"454",-3997,2.17,NA,NA
"455",-4025,0.33,NA,NA
"456",-4034,7.6,NA,NA
"457",-4048,0.83,NA,NA
"458",-4060,3.68,NA,NA
"459",-4086,1.94,NA,NA
"460",-4093,0.27,NA,NA
"461",-4099,11.07,NA,NA
"462",-4101,0.32,NA,NA
"463",-4120,0.47,NA,NA
"464",-4132,0.34,NA,NA
"465",-4135,2.85,NA,NA
"466",-4147,2.71,NA,NA
"467",-4152,2,NA,NA
"468",-4167,1.85,NA,NA
"469",-4186,1.39,NA,NA
"470",-4193,6.16,NA,NA
"471",-4203,4.55,NA,NA
"472",-4209,12.1,NA,NA
"473",-4218,1.16,NA,NA
"474",-4225,3.38,NA,NA
"475",-4228,0.17,NA,NA
"476",-4232,1.39,NA,NA
"477",-4239,3.96,NA,NA
"478",-4244,1.1,NA,NA
"479",-4251,0.18,NA,NA
"480",-4265,0.53,NA,NA
"481",-4283,4.22,NA,NA
"482",-4287,1.05,NA,NA
"483",-4300,0.19,NA,NA
"484",-4304,5.94,NA,NA
"485",-4309,8.92,NA,NA
"486",-4315,0.21,NA,NA
"487",-4324,1.83,NA,NA
"488",-4356,2.24,NA,NA
"489",-4358,0.83,NA,NA
"490",-4365,0.23,NA,NA
"491",-4374,0.93,NA,NA
"492",-4384,1.9,NA,NA
"493",-4409,3.93,NA,NA
"494",-4412,8.52,NA,NA
"495",-4424,6.92,NA,NA
"496",-4437,0.17,NA,NA
"497",-4440,0.33,NA,NA
"498",-4447,1.95,NA,NA
"499",-4450,2.66,NA,NA
"500",-4456,1.7,NA,NA
"501",-4459,0.18,NA,NA
"502",-4462,0.53,NA,NA
"503",-4470,3.57,NA,NA
"504",-4501,0.42,NA,NA
"505",-4507,4.4,NA,NA
"506",-4513,1.01,NA,NA
"507",-4519,0.21,NA,NA
"508",-4526,22.21,NA,NA
"509",-4541,1.2,NA,NA
"510",-4559,3.08,NA,NA
"511",-4563,2.78,NA,NA
"512",-4586,4.35,NA,NA
"513",-4595,1.12,NA,NA
"514",-4600,2.25,NA,NA
"515",-4616,1.3,NA,NA
"516",-4631,0.89,NA,NA
