Cal_yr_BP,TSI
-3185,1361.47
-3175,1361.47
-3165,1361.47
-3155,1361.53
-3145,1361.57
-3135,1361.64
-3125,1361.57
-3115,1361.34
-3105,1361.15
-3095,1361.04
-3085,1361.04
-3075,1361.17
-3065,1361.37
-3055,1361.47
-3045,1361.48
-3035,1361.36
-3025,1361.18
-3015,1361.12
-3005,1361.16
-2995,1361.24
-2985,1361.33
-2975,1361.41
-2965,1361.47
-2955,1361.42
-2945,1361.29
-2935,1361.13
-2925,1360.98
-2915,1360.87
-2905,1360.83
-2895,1360.78
-2885,1360.67
-2875,1360.6
-2865,1360.63
-2855,1360.68
-2845,1360.7
-2835,1360.69
-2825,1360.82
-2815,1361.13
-2805,1361.34
-2795,1361.38
-2785,1361.42
-2775,1361.39
-2765,1361.34
-2755,1361.29
-2745,1361.29
-2735,1361.3
-2725,1361.33
-2715,1361.34
-2705,1361.28
-2695,1361.25
-2685,1361.29
-2675,1361.27
-2665,1361.29
-2655,1361.33
-2645,1361.32
-2635,1361.16
-2625,1361.11
-2615,1361.21
-2605,1361.36
-2595,1361.32
-2585,1361.14
-2575,1360.93
-2565,1360.84
-2555,1360.89
-2545,1361.03
-2535,1361.22
-2525,1361.35
-2515,1361.44
-2505,1361.32
-2495,1361.14
-2485,1361.02
-2475,1360.88
-2465,1360.77
-2455,1360.85
-2445,1360.99
-2435,1361.06
-2425,1361.1
-2415,1361.07
-2405,1360.99
-2395,1361.07
-2385,1361.26
-2375,1361.37
-2365,1361.32
-2355,1361.25
-2345,1361.17
-2335,1361.19
-2325,1361.27
-2315,1361.28
-2305,1361.14
-2295,1360.98
-2285,1360.94
-2275,1361.02
-2265,1361.13
-2255,1361.25
-2245,1361.3
-2235,1361.23
-2225,1361.2
-2215,1361.14
-2205,1360.99
-2195,1360.96
-2185,1361.07
-2175,1361.2
-2165,1361.29
-2155,1361.26
-2145,1361.07
-2135,1360.93
-2125,1360.94
-2115,1361.01
-2105,1361.15
-2095,1361.32
-2085,1361.47
-2075,1361.55
-2065,1361.56
-2055,1361.45
-2045,1361.3
-2035,1361.16
-2025,1361.1
-2015,1361.18
-2005,1361.3
-1995,1361.34
-1985,1361.28
-1975,1361.26
-1965,1361.34
-1955,1361.28
-1945,1361.11
-1935,1361.06
-1925,1361.14
-1915,1361.26
-1905,1361.32
-1895,1361.24
-1885,1361.06
-1875,1360.93
-1865,1360.97
-1855,1361.17
-1845,1361.38
-1835,1361.41
-1825,1361.32
-1815,1361.23
-1805,1361.21
-1795,1361.24
-1785,1361.18
-1775,1361.16
-1765,1361.15
-1755,1361.14
-1745,1361.11
-1735,1361.16
-1725,1361.23
-1715,1361.29
-1705,1361.31
-1695,1361.25
-1685,1361.17
-1675,1361.16
-1665,1361.14
-1655,1361.13
-1645,1361.14
-1635,1361.09
-1625,1361.04
-1615,1360.97
-1605,1360.97
-1595,1361.08
-1585,1361.21
-1575,1361.29
-1565,1361.37
-1555,1361.36
-1545,1361.28
-1535,1361.16
-1525,1361.08
-1515,1361.04
-1505,1360.96
-1495,1360.91
-1485,1361.07
-1475,1361.19
-1465,1361.09
-1455,1360.98
-1445,1360.91
-1435,1360.85
-1425,1360.82
-1415,1360.79
-1405,1360.75
-1395,1360.73
-1385,1360.74
-1375,1360.81
-1365,1360.87
-1355,1360.9
-1345,1360.97
-1335,1361.14
-1325,1361.23
-1315,1361.2
-1305,1361.14
-1295,1361.08
-1285,1361.06
-1275,1361.12
-1265,1361.15
-1255,1361.14
-1245,1361.12
-1235,1361.15
-1225,1361.15
-1215,1361.07
-1205,1361.02
-1195,1360.97
-1185,1360.96
-1175,1361.03
-1165,1361.1
-1155,1361.19
-1145,1361.3
-1135,1361.3
-1125,1361.21
-1115,1361.15
-1105,1361.12
-1095,1361.11
-1085,1361.09
-1075,1361.07
-1065,1361.02
-1055,1360.99
-1045,1360.99
-1035,1361.05
-1025,1361.07
-1015,1361
-1005,1360.87
-995,1360.78
-985,1360.74
-975,1360.74
-965,1360.9
-955,1361.09
-945,1361.11
-935,1361.09
-925,1361.06
-915,1360.89
-905,1360.8
-895,1360.82
-885,1360.93
-875,1361.15
-865,1361.37
-855,1361.37
-845,1361.17
-835,1360.98
-825,1360.84
-815,1360.69
-805,1360.52
-795,1360.42
-785,1360.4
-775,1360.4
-765,1360.42
-755,1360.45
-745,1360.49
-735,1360.52
-725,1360.55
-715,1360.64
-705,1360.85
-695,1361.15
-685,1361.24
-675,1361
-665,1360.81
-655,1360.91
-645,1361.16
-635,1361.37
-625,1361.44
-615,1361.32
-605,1361.29
-595,1361.29
-585,1361.32
-575,1361.31
-565,1361.19
-555,1361.03
-545,1360.9
-535,1360.95
-525,1361.08
-515,1361.19
-505,1361.29
-495,1361.26
-485,1361.19
-475,1361.23
-465,1361.42
-455,1361.47
-445,1361.37
-435,1361.36
-425,1361.31
-415,1361.12
-405,1360.85
-395,1360.69
-385,1360.62
-375,1360.58
-365,1360.52
-355,1360.48
-345,1360.55
-335,1360.7
-325,1360.9
-315,1361.02
-305,1361.11
-295,1361.24
-285,1361.34
-275,1361.39
-265,1361.33
-255,1361.21
-245,1361.17
-235,1361.16
-225,1361.26
-215,1361.35
